model,precision,language,nll_per_char,vram_gb,increase_vs_bf16_pct
bharatgenai/Param-1-2.9B-Instruct,bf16,English,0.8441057411101444,5.453472137451172,0.0
bharatgenai/Param-1-2.9B-Instruct,bf16,Hindi,1.0695927924553457,5.453472137451172,0.0
bharatgenai/Param-1-2.9B-Instruct,bf16,Bengali,2.134722863841329,5.453472137451172,0.0
bharatgenai/Param-1-2.9B-Instruct,bf16,Marathi,1.9002857555372856,5.453472137451172,0.0
bharatgenai/Param-1-2.9B-Instruct,bf16,Gujarati,2.6723707371986634,5.453472137451172,0.0
bharatgenai/Param-1-2.9B-Instruct,bf16,Punjabi,2.761407742868374,5.453472137451172,0.0
bharatgenai/Param-1-2.9B-Instruct,bf16,Odia,2.7575576755507596,5.453472137451172,0.0
bharatgenai/Param-1-2.9B-Instruct,bf16,Tamil,1.7093723580052427,5.453472137451172,0.0
bharatgenai/Param-1-2.9B-Instruct,bf16,Telugu,2.0489044273785373,5.453472137451172,0.0
bharatgenai/Param-1-2.9B-Instruct,bf16,Kannada,3.622320201835902,5.453472137451172,0.0
bharatgenai/Param-1-2.9B-Instruct,bf16,Malayalam,2.150232239503295,5.453472137451172,0.0
bharatgenai/Param-1-2.9B-Instruct,nf4,English,0.8795237474406374,3.0531883239746094,4.195920558947064
bharatgenai/Param-1-2.9B-Instruct,nf4,Hindi,1.1453749009536545,3.0531883239746094,7.085136421342586
bharatgenai/Param-1-2.9B-Instruct,nf4,Bengali,2.325687880379751,3.0531883239746094,8.94565846335622
bharatgenai/Param-1-2.9B-Instruct,nf4,Marathi,2.0045578407365903,3.0531883239746094,5.487179225306704
bharatgenai/Param-1-2.9B-Instruct,nf4,Gujarati,2.9523580019135616,3.0531883239746094,10.477111607964895
bharatgenai/Param-1-2.9B-Instruct,nf4,Punjabi,2.978885558204348,3.0531883239746094,7.875614019611321
bharatgenai/Param-1-2.9B-Instruct,nf4,Odia,3.162814863778238,3.0531883239746094,14.69623615928677
bharatgenai/Param-1-2.9B-Instruct,nf4,Tamil,1.9056070386627306,3.0531883239746094,11.479925935299695
bharatgenai/Param-1-2.9B-Instruct,nf4,Telugu,2.2272367355032388,3.0531883239746094,8.703788509689936
bharatgenai/Param-1-2.9B-Instruct,nf4,Kannada,3.941475756901064,3.0531883239746094,8.81080460262471
bharatgenai/Param-1-2.9B-Instruct,nf4,Malayalam,2.377903599757637,3.0531883239746094,10.588221870719172
