language,precision,abs_delta,abs_lo,abs_hi,pct,pct_lo,pct_hi
English,int8,0.0017517732657401641,0.0009089667106353255,0.002632328489470012,0.23943585081620533,0.1241277531201973,0.357338037187655
English,nf4,0.022306221795747483,0.02023258581126288,0.02454918920840429,3.0488587185413474,2.7742654419206954,3.3544460358369563
Hindi,int8,0.021007645958066146,0.018220776925523603,0.024049758636767303,2.0985945904920644,1.810381932731578,2.4003317447497605
Hindi,nf4,0.10893513360336793,0.10223970941114376,0.11560436514322313,10.882260799277276,10.226019964141479,11.568042249498795
Bengali,int8,0.02510846996399496,0.021625169912975174,0.028691269997110653,1.990749708544448,1.7125294594675928,2.282972603222811
Bengali,nf4,0.13658405847425326,0.12906482323094398,0.1446000162349176,10.829201261141908,10.192796614468955,11.503543622577942
Marathi,int8,0.016251595811659136,0.01285354541992505,0.019830262510719295,0.6842755737290762,0.5395545148801439,0.8381810078459673
Marathi,nf4,0.09103064435636554,0.08470992191682487,0.09728586268108765,3.8328572231160374,3.550040996312771,4.107728078502544
Gujarati,int8,0.02510934416666144,0.021794416711211722,0.02821320696411185,2.197340026254202,1.9077772624988476,2.474274692394063
Gujarati,nf4,0.1407171295530696,0.13159757519164203,0.14934595823304364,12.31427547825399,11.518247753696928,13.103254330116567
Punjabi,int8,0.08162676266406477,0.07635364473658342,0.08677319282548737,2.944066167897663,2.75796915493911,3.129631636291561
Punjabi,nf4,0.43734394707046365,0.42390164953856563,0.4519312539149961,15.773864799759018,15.293157852771882,16.283909443024886
Odia,int8,0.13078158742670531,0.12310465978917826,0.13853567547564466,4.1889151814477055,3.9466907473221573,4.431346822232899
Odia,nf4,0.361562984734777,0.35074733372706207,0.3730412595231272,11.580809696577997,11.239743550081938,11.948012850835388
Tamil,int8,0.01203283440557823,0.008605809418643019,0.015577667125147047,0.6641033695693466,0.4731854733999019,0.8574082379395513
Tamil,nf4,0.09081429342187075,0.08355901663525155,0.0981426846448274,5.012125674941981,4.598540387506334,5.414229438788526
Telugu,int8,0.14122480159822448,0.1343558881785954,0.14834662147938787,5.338086088884708,5.08584667274263,5.601962757262348
Telugu,nf4,0.617993740771666,0.5972585877930034,0.6380776768061959,23.359238273290185,22.579208347521845,24.14244228213683
Kannada,int8,-0.010138727003528025,-0.016710313823205224,-0.0041010602535237264,-0.46619834836638674,-0.7628063315801092,-0.18825305371719817
Kannada,nf4,0.1234998521624373,0.11093877193981336,0.13747129807488312,5.678762933609538,5.085089085892998,6.322251034622546
Malayalam,int8,0.03781263536191615,0.034595596948396,0.04097605351244086,1.5329177820437412,1.4003879323503594,1.6648767857462863
Malayalam,nf4,0.25215872905880543,0.24138646459066412,0.2637047192191781,10.222471826470624,9.811942418269064,10.647313551881503
