language,precision,abs_delta,abs_lo,abs_hi,pct,pct_lo,pct_hi
English,int8,-0.0003356918527804842,-0.0010541013310525539,0.0003993505083297766,-0.05232793172004202,-0.16406799518430187,0.06302373319593434
English,nf4,0.00816504060123513,0.006277822637597427,0.010048474115400989,1.2727734782177702,0.9693360778406468,1.5756041261983622
Hindi,int8,0.004176809687890692,0.0028027569871348274,0.005714368222132227,0.41795064399350323,0.2803428841281347,0.5732060283283479
Hindi,nf4,0.016903380245054,0.01349333607085689,0.020289104250688427,1.6914293891745924,1.3422743172112805,2.032226613488728
Bengali,int8,0.010063666731564558,0.007593499122114955,0.012381856327224182,0.8246424858898704,0.6163083577433853,1.0213722578815947
Bengali,nf4,0.06026871881681717,0.05530203438398087,0.06539675779161627,4.938572334735003,4.491751991708144,5.380665776813536
Marathi,int8,0.011209527975212907,0.009183420363407324,0.013262316056347688,0.8947231867665995,0.7284570809289859,1.0618517956530582
Marathi,nf4,0.04457517407354428,0.03959318992257009,0.04945912395587851,3.557905550166529,3.147390397242959,3.967322928855785
Gujarati,int8,0.020438553563570938,0.017775570503333848,0.023157943131992573,1.430418268045064,1.239839522723728,1.6178697051097264
Gujarati,nf4,0.08358683573612491,0.07725808124498276,0.0900239730029517,5.849931426563515,5.36582526450015,6.335235988231491
Punjabi,int8,0.01594905385320744,0.012813982148653025,0.01912516040985088,0.9395401504843415,0.7573956976481133,1.124421593903101
Punjabi,nf4,0.0726738095526327,0.06643810655011671,0.07924398407565277,4.281129312860088,3.8752416978796336,4.687684756027116
Odia,int8,0.016731362309082787,0.013868415409791774,0.019763666977025057,1.175622447507152,0.9744103361697037,1.3861475740446252
Odia,nf4,0.12466919696454193,0.11861004839697784,0.13086438265782185,8.759831014157339,8.286014788248764,9.230761917488552
Tamil,int8,0.013176738626135442,0.011214672418692895,0.015167782279585883,1.268917400533609,1.0735129689475875,1.4639929596545092
Tamil,nf4,0.085619149036821,0.08034055573075288,0.09075305782254499,8.245107618376224,7.709899826593454,8.77617270908255
Telugu,int8,0.016480861763782828,0.013992824468399783,0.019146034313542337,1.3088912316320256,1.1066772960007638,1.5210276177622721
Telugu,nf4,0.08068640219487766,0.07513135537163064,0.0862239678496985,6.4080219747301825,5.94792517737023,6.862289271528026
Kannada,int8,0.01804534890626619,0.015897667690962135,0.020205702818379977,1.522508965553726,1.3413937300721746,1.7134795974776795
Kannada,nf4,0.08848567141590502,0.08296511897843728,0.09418822277457874,7.465648281645287,6.974542638177207,7.945294879716743
Malayalam,int8,0.01623074859346607,0.013782309732754749,0.01868272965230172,1.4133968281295317,1.1969078863529987,1.6316058246150997
Malayalam,nf4,0.0924088184801315,0.08727005497054509,0.09766321773804608,8.04709223230744,7.56053974598517,8.555808837152783
