model,language,chrf_bf16,chrf_nf4,chrf_drop,lo,hi,nll_dmg,parity
gemma-3-1b-pt,Hindi,37.79898604600445,34.2785648757801,3.5204211702243517,1.1058198228719414,6.019956870127766,0.0304871820373004,1.2879684418145956
gemma-3-1b-pt,Bengali,28.333507013225898,25.19373999169021,3.139767021535687,0.5601739021874347,5.808520067410265,0.0262744272948192,1.160552268244576
gemma-3-1b-pt,Tamil,29.45050849504333,26.73609031728149,2.7144181777618366,0.2526566714301421,5.038557042190218,0.0386684766597574,1.5229454306377384
gemma-3-1b-pt,Telugu,26.51201948310622,19.92367529670497,6.588344186401251,4.57764703537352,8.797249687959392,0.0640243917790404,1.7956607495069032
gemma-3-1b-pt,Odia,5.728121865813655,4.961853645892935,0.7662682199207199,-0.10413307130874863,1.5658829192878336,0.1180560934054684,3.814201183431953
Llama-3.2-1B,Hindi,28.038175203909717,24.112611917126628,3.9255632867830874,1.678969056900855,6.2983234254322715,0.0556182247750431,2.518075422626788
Llama-3.2-1B,Bengali,13.64968075938797,10.141103096367463,3.508577663020509,1.947722086875495,4.967974074616407,0.2442824032087587,5.618725617685306
Llama-3.2-1B,Tamil,13.171867316723656,9.232288914564027,3.9395784021596283,2.2729470169470503,5.466107731169932,0.2967775130414527,7.768400520156047
Llama-3.2-1B,Telugu,11.29714582095669,8.011872722753939,3.285273098202751,2.0006036507900875,4.655859281445054,0.3592423501040935,8.36254876462939
Llama-3.2-1B,Odia,8.01017629923653,6.741667782978625,1.2685085162579062,0.10808257847907263,2.520571354437563,0.4568992812504093,13.033420026007802
sarvam-1,Hindi,44.09984563404994,41.49760358173072,2.6022420523192107,0.4494269773869818,5.233638497923654,0.0204771317775893,1.1210355261683291
sarvam-1,Bengali,26.88445124049221,17.81441564697412,9.070035593518092,5.125442039188257,12.572661558072893,0.0370023734679159,1.311778549815085
sarvam-1,Tamil,37.10398277065249,35.07517472061113,2.0288080500413734,0.0739932935946679,4.02535066019394,0.0076243781700744,1.2217863947102992
sarvam-1,Telugu,37.24537420422506,35.16568631774284,2.0796878864822137,0.18377125822276305,3.854067674046077,0.0507510908339308,1.1856998767230753
sarvam-1,Odia,36.25904413656683,31.755202263466337,4.5038418731004946,2.3294860195843734,7.055813635227666,0.0495962649616892,1.6844110725092458
pragna-1b,Hindi,18.680917608840517,16.809294492742765,1.8716231160977466,-0.5991544066286536,4.313324408827488,0.1089351336033679,1.2455398576879446
pragna-1b,Bengali,16.493254639846416,12.359824549349312,4.133430090497104,2.7206744990844642,5.574206304640913,0.1365840584742532,1.5790450654841703
pragna-1b,Tamil,8.113150715283833,7.540921685969013,0.5722290293148216,-0.9550660399703481,2.067926185350404,0.0908142934218707,1.2867897287820975
pragna-1b,Telugu,7.365810367295789,2.604171482968056,4.761638884327734,3.4929627086162447,5.976786696130167,0.617993740771666,3.78539754563267
pragna-1b,Odia,0.7936011510902768,1.0961288236515419,-0.302527672561265,-0.684372687376894,0.06712200638808505,0.361562984734777,4.158193255646076
Qwen3-1.7B-Base,Hindi,27.18714200996944,20.799883417663594,6.387258592305844,3.4805828523089786,9.275691828443993,0.1434373555182773,4.397416218981837
Qwen3-1.7B-Base,Bengali,19.647247853539746,14.502431445477065,5.1448164080626775,3.0417304837458836,7.380495552268048,0.1634319449796142,4.905858275773856
Qwen3-1.7B-Base,Tamil,18.02994685770697,15.124210602020835,2.905736255686138,0.9547848455511436,4.791144292377106,0.1488824359747083,6.183167050396521
Qwen3-1.7B-Base,Telugu,14.462465140073377,10.84756821452761,3.6148969255457684,1.843776093844815,5.586375301378235,0.1652176057997998,7.041187004348938
Qwen3-1.7B-Base,Odia,13.255562243105288,8.973064924647302,4.2824973184579855,2.5965397264297176,6.095162374457955,0.1663982529562229,10.3805321053978
