model,precision,language,nll_per_char,vram_gb,increase_vs_bf16_pct
sarvamai/sarvam-1,bf16,English,0.7511269873226862,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Hindi,0.9299229113847939,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Bengali,1.2788611252334854,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Marathi,1.02382409460342,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Gujarati,1.0657974790185647,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Punjabi,1.7158176913960295,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Odia,1.1712925835896688,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Tamil,0.8592267580548804,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Telugu,1.0517149820022311,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Kannada,1.015469648371288,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Malayalam,0.9449252904075656,4.703343391418457,0.0
sarvamai/sarvam-1,int8,English,0.7622977647987274,2.6250734329223633,1.487202252692077
sarvamai/sarvam-1,int8,Hindi,0.9235723817330933,2.6250734329223633,-0.6829092577409157
sarvamai/sarvam-1,int8,Bengali,1.285527172891797,2.6250734329223633,0.5212487522517018
sarvamai/sarvam-1,int8,Marathi,1.025247822891605,2.6250734329223633,0.13905985370821217
sarvamai/sarvam-1,int8,Gujarati,1.0635807264167343,2.6250734329223633,-0.20799003989685483
sarvamai/sarvam-1,int8,Punjabi,1.7185630959542202,2.6250734329223633,0.16000560968438826
sarvamai/sarvam-1,int8,Odia,1.1762346397578844,2.6250734329223633,0.42193182450362965
sarvamai/sarvam-1,int8,Tamil,0.8595780342621413,2.6250734329223633,0.04088282912140251
sarvamai/sarvam-1,int8,Telugu,1.0595336274577232,2.6250734329223633,0.7434186627832462
sarvamai/sarvam-1,int8,Kannada,1.0185371987440308,2.6250734329223633,0.30208193594587485
sarvamai/sarvam-1,int8,Malayalam,0.9446919441441527,2.6250734329223633,-0.02469467859329555
sarvamai/sarvam-1,nf4,English,0.7994838657349018,1.7130193710327148,6.437909864559477
sarvamai/sarvam-1,nf4,Hindi,0.9504000431623832,1.7130193710327148,2.2020246546131217
sarvamai/sarvam-1,nf4,Bengali,1.3158634987014013,1.7130193710327148,2.8933848044806476
sarvamai/sarvam-1,nf4,Marathi,1.0418206509453016,1.7130193710327148,1.757778160988921
sarvamai/sarvam-1,nf4,Gujarati,1.104845721768207,1.7130193710327148,3.6637582203328023
sarvamai/sarvam-1,nf4,Punjabi,1.772191940167058,1.7130193710327148,3.2855616918812114
sarvamai/sarvam-1,nf4,Odia,1.220888848551358,1.7130193710327148,4.234319046885049
sarvamai/sarvam-1,nf4,Tamil,0.8668511362249548,1.7130193710327148,0.8873534370990255
sarvamai/sarvam-1,nf4,Telugu,1.102466072836162,1.7130193710327148,4.82555556423776
sarvamai/sarvam-1,nf4,Kannada,1.0546144181982553,1.7130193710327148,3.8548439029912673
sarvamai/sarvam-1,nf4,Malayalam,0.9835485340010964,1.7130193710327148,4.08743886798415
