language,precision,abs_delta,abs_lo,abs_hi,pct,pct_lo,pct_hi
English,int8,0.0010024591519243176,0.00010968965536750363,0.0018254093261139495,0.1450263157003029,0.015751038768115344,0.26475810958149487
English,nf4,0.015541514677396173,0.013573370895529444,0.017663683423896435,2.2483994582106703,1.9483118830288921,2.5723762122635714
Hindi,int8,0.003775398379968653,0.002470580118983462,0.0050701384493963934,0.3660748021763194,0.24000911016424653,0.49343986523442074
Hindi,nf4,0.030487182037300498,0.02765669461220709,0.03340440637375278,2.9561354882265967,2.6784838044780037,3.2284019584931567
Bengali,int8,0.006843006298570042,0.0053454107316375735,0.008354996501309492,0.588741603025178,0.4600749091089562,0.7182291286796615
Bengali,nf4,0.026274427294819214,0.023050196801544874,0.029733869136557782,2.260534006428294,1.979517188405377,2.5571297631449763
Marathi,int8,0.0053738170345678515,0.003924813114257136,0.006946652360533282,0.44677108371289354,0.32537528592316567,0.5787792408771874
Marathi,nf4,0.04520021964728982,0.041471192914030786,0.0489697064765067,3.757878429053063,3.447521030176373,4.078080042401918
Gujarati,int8,0.009188929829921255,0.007470765040087324,0.010829941820050015,0.7153758800900967,0.5819279537941491,0.8404164945291015
Gujarati,nf4,0.054069873717532246,0.049520521218831735,0.0585000911672833,4.209443777782318,3.8572216959788244,4.563271562508965
Punjabi,int8,0.00973421257482232,0.0074985370284302464,0.011922457154908049,0.565211728506676,0.4329822722388549,0.693584409996708
Punjabi,nf4,0.05324986024984768,0.04793586852461102,0.058321675166157105,3.0919240075363508,2.768147396066279,3.3966851791720014
Odia,int8,0.019920891967746268,0.01779288605832737,0.022260844729940884,1.0256658486558434,0.9109184321005759,1.1446399026565328
Odia,nf4,0.11805609340546841,0.11261854885795633,0.1237655323086995,6.078347466958989,5.765669099237556,6.3946715916077235
Tamil,int8,0.007293843115713017,0.005947267826416377,0.008702668988921313,0.7519552059535028,0.6121455609910886,0.904068267700901
Tamil,nf4,0.03866847665975748,0.03539498709771113,0.04193763831405181,3.986507780508153,3.6675110668604307,4.311925349241555
Telugu,int8,0.007337685273095529,0.005677158138418292,0.009097478182154284,0.5955398319369865,0.4609170736175644,0.7409633129242331
Telugu,nf4,0.0640243917790404,0.05903900040099462,0.0690120463027363,5.19633564276214,4.784979670398988,5.593964880521998
Kannada,int8,0.011024239258421442,0.009700163160052861,0.012331692558388651,0.9238720257163768,0.8130229445028342,1.034355815274125
Kannada,nf4,0.05678276397821147,0.053044965461050676,0.06058845089160758,4.758605646394232,4.422176514936123,5.104252737311489
Malayalam,int8,0.009379695737719462,0.007995052305956197,0.010845306173216317,0.8484979367348711,0.723114659515019,0.978972713206186
Malayalam,nf4,0.04923451045625726,0.045608091200252235,0.05269698144833028,4.4538097723458625,4.124753779610385,4.778628790571901
