language,precision,abs_delta,abs_lo,abs_hi,pct,pct_lo,pct_hi
English,int8,0.011170777476041116,0.009174119339539797,0.013319723377424977,1.487202252692077,1.2207789022264366,1.7669027855468051
English,nf4,0.04835687841221559,0.04397826601179889,0.052982564511760234,6.437909864559477,5.848873204845963,7.036501866184268
Hindi,int8,-0.006350529651700576,-0.009256598010650149,-0.003000005886121385,-0.6829092577409157,-0.9899808784320241,-0.32737277511218427
Hindi,nf4,0.020477131777589364,0.016466962731186082,0.024443693637929444,2.2020246546131217,1.7614493356050975,2.6429141207284124
Bengali,int8,0.00666604765831158,0.0035470070619356584,0.009926894313476436,0.5212487522517018,0.27530316561058976,0.7709512246378457
Bengali,nf4,0.037002373467915906,0.03217524004107549,0.04190658731377621,2.8933848044806476,2.5289661031460566,3.273313614128636
Marathi,int8,0.0014237282881850444,-0.0007379289741365868,0.0036910616684878482,0.13905985370821217,-0.07163745471238686,0.3602683299461656
Marathi,nf4,0.017996556341881575,0.013635086596222678,0.022575149935017545,1.757778160988921,1.3281976570703002,2.2189369392939544
Gujarati,int8,-0.0022167526018304073,-0.004122646969983279,-0.0004035066366349047,-0.20799003989685483,-0.38717833821166836,-0.03810738754011207
Gujarati,nf4,0.03904824274964236,0.03478646559589322,0.043352763395277785,3.6637582203328023,3.252230918876017,4.067967690113183
Punjabi,int8,0.0027454045581907227,-0.00048549691538637973,0.006057512552369309,0.16000560968438826,-0.028458456919272235,0.3506144066015476
Punjabi,nf4,0.05637424877102859,0.050204281309045536,0.06265779107301447,3.2855616918812114,2.9251692550970683,3.641258234148121
Odia,int8,0.004942056168215636,0.0028960052277514025,0.007247427380215696,0.42193182450362965,0.24618586754154348,0.6184561450625085
Odia,nf4,0.04959626496168923,0.044601314487317946,0.05478407069199143,4.234319046885049,3.7959741244080587,4.680553437192871
Tamil,int8,0.0003512762072609421,-0.0015783389811519916,0.0023717749088403932,0.04088282912140251,-0.18327416691410914,0.2755997530297559
Tamil,nf4,0.007624378170074442,0.003426694816965728,0.01174322176077672,0.8873534370990255,0.39806691999203336,1.375879887682526
Telugu,int8,0.007818645455492046,0.005412258926240143,0.010258762605483375,0.7434186627832462,0.5150842143163242,0.9769474323236748
Telugu,nf4,0.05075109083393081,0.0456727485801019,0.05580939756835873,4.82555556423776,4.340747725576398,5.299332333186377
Kannada,int8,0.0030675503727428666,0.0010327152367363285,0.005373967353870105,0.30208193594587485,0.1030656138408309,0.5252212510957559
Kannada,nf4,0.03914476982696735,0.03480300797048167,0.044152614331919735,3.8548439029912673,3.439409720708742,4.335042977123903
Malayalam,int8,-0.00023334626341287024,-0.0020293294053286308,0.0015691839642554574,-0.02469467859329555,-0.21432624448570692,0.16506980562327078
Malayalam,nf4,0.038623243593530865,0.0345284196858235,0.04268064039492987,4.08743886798415,3.6384094937188,4.525824253030501
