model,language,parity256,dmg,eng
gemma-3-1b-pt,Marathi,1.414595660749507,0.0452002196472898,0.0155415146773961
gemma-3-1b-pt,Gujarati,1.8269559500328731,0.0540698737175322,0.0155415146773961
gemma-3-1b-pt,Punjabi,2.3827744904667982,0.0532498602498476,0.0155415146773961
gemma-3-1b-pt,Odia,3.8142011834319525,0.1180560934054684,0.0155415146773961
gemma-3-1b-pt,Tamil,1.5229454306377384,0.0386684766597574,0.0155415146773961
gemma-3-1b-pt,Telugu,1.7956607495069032,0.0640243917790404,0.0155415146773961
gemma-3-1b-pt,Kannada,2.066140696909928,0.0567827639782114,0.0155415146773961
gemma-3-1b-pt,Malayalam,1.9414858645627877,0.0492345104562572,0.0155415146773961
Qwen3-1.7B-Base,English,1.0,0.0613603285578064,0.0613603285578064
Qwen3-1.7B-Base,Hindi,4.397416218981837,0.1434373555182773,0.0613603285578064
Qwen3-1.7B-Base,Bengali,4.905858275773856,0.1634319449796142,0.0613603285578064
Qwen3-1.7B-Base,Marathi,4.6687132258889745,0.1697479020400143,0.0613603285578064
Qwen3-1.7B-Base,Gujarati,6.5323612177027375,0.1674795624953391,0.0613603285578064
Qwen3-1.7B-Base,Punjabi,6.263110770017907,0.1642517116749466,0.0613603285578064
Qwen3-1.7B-Base,Odia,10.3805321053978,0.1663982529562229,0.0613603285578064
Qwen3-1.7B-Base,Tamil,6.183167050396521,0.1488824359747083,0.0613603285578064
Qwen3-1.7B-Base,Telugu,7.041187004348938,0.1652176057997998,0.0613603285578064
Qwen3-1.7B-Base,Kannada,7.231517012023535,0.1751341433214857,0.0613603285578064
Qwen3-1.7B-Base,Malayalam,7.493220772576106,0.1553690306513049,0.0613603285578064
pragna-1b,English,1.0,0.0223062217957474,0.0223062217957474
pragna-1b,Hindi,1.2455398576879446,0.1089351336033679,0.0223062217957474
pragna-1b,Bengali,1.5790450654841703,0.1365840584742532,0.0223062217957474
pragna-1b,Marathi,1.8530473342270806,0.0910306443563655,0.0223062217957474
pragna-1b,Gujarati,1.0915747138290193,0.1407171295530696,0.0223062217957474
pragna-1b,Punjabi,3.3532020212436837,0.4373439470704636,0.0223062217957474
pragna-1b,Odia,4.158193255646076,0.361562984734777,0.0223062217957474
pragna-1b,Tamil,1.2867897287820975,0.0908142934218707,0.0223062217957474
pragna-1b,Telugu,3.78539754563267,0.617993740771666,0.0223062217957474
pragna-1b,Kannada,1.1541713932143962,0.1234998521624373,0.0223062217957474
pragna-1b,Malayalam,4.481592245024235,0.2521587290588054,0.0223062217957474
Param-1-2.9B-Instruct,English,1.0,0.035418006330493,0.035418006330493
Param-1-2.9B-Instruct,Hindi,1.6637226469812814,0.0757821084983088,0.035418006330493
Param-1-2.9B-Instruct,Bengali,2.0922752438702874,0.190965016538422,0.035418006330493
Param-1-2.9B-Instruct,Marathi,1.9071974690218825,0.1042720851993046,0.035418006330493
Param-1-2.9B-Instruct,Gujarati,12.017136831004482,0.2799872647148982,0.035418006330493
Param-1-2.9B-Instruct,Punjabi,10.986949644081202,0.217477815335974,0.035418006330493
Param-1-2.9B-Instruct,Odia,14.268652781439494,0.4052571882274782,0.035418006330493
Param-1-2.9B-Instruct,Tamil,2.275112048510414,0.1962346806574879,0.035418006330493
Param-1-2.9B-Instruct,Telugu,2.3779330345373055,0.1783323081247014,0.035418006330493
Param-1-2.9B-Instruct,Kannada,2.706960189823359,0.3191555550651621,0.035418006330493
Param-1-2.9B-Instruct,Malayalam,2.675059319799631,0.2276713602543423,0.035418006330493
