model,precision,language,nll_per_char,vram_gb,increase_vs_bf16_pct
sarvamai/sarvam-1,bf16,English,0.7489539268457495,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Hindi,0.9280944636368008,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Bengali,1.277546129911171,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Marathi,1.0210832517722992,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Gujarati,1.0634875634153673,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Punjabi,1.7149759999515475,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Odia,1.1707526588068322,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Tamil,0.8575288694192875,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Telugu,1.0504276798494705,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Kannada,1.0142543366649892,4.703343391418457,0.0
sarvamai/sarvam-1,bf16,Malayalam,0.9443354567101271,4.703343391418457,0.0
sarvamai/sarvam-1,int8,English,0.7603880614591562,2.6251955032348633,1.526680641299527
sarvamai/sarvam-1,int8,Hindi,0.928616747504558,2.6251955032348633,0.05627486082726563
sarvamai/sarvam-1,int8,Bengali,1.2859662552343794,2.6251955032348633,0.6590858150690604
sarvamai/sarvam-1,int8,Marathi,1.0250429357880448,2.6251955032348633,0.38779247518483384
sarvamai/sarvam-1,int8,Gujarati,1.0645184046879554,2.6251955032348633,0.09693026115675796
sarvamai/sarvam-1,int8,Punjabi,1.7206162696327867,2.6251955032348633,0.32888330107234687
sarvamai/sarvam-1,int8,Odia,1.1782010823762392,2.6251955032348633,0.636208127598703
sarvamai/sarvam-1,int8,Tamil,0.8584816575410962,2.6251955032348633,0.11110857672393948
sarvamai/sarvam-1,int8,Telugu,1.0598117347469636,2.6251955032348633,0.893355637661597
sarvamai/sarvam-1,int8,Kannada,1.0182463910653528,2.6251955032348633,0.39359500433491235
sarvamai/sarvam-1,int8,Malayalam,0.945677827625873,2.6251955032348633,0.1421497949915418
sarvamai/sarvam-1,nf4,English,0.8001531632088434,1.7131109237670898,6.83609959543463
sarvamai/sarvam-1,nf4,Hindi,0.951092820873896,1.7131109237670898,2.478019009721777
sarvamai/sarvam-1,nf4,Bengali,1.3157045590157412,1.7131109237670898,2.986853328515293
sarvamai/sarvam-1,nf4,Marathi,1.0426500768664526,1.7131109237670898,2.1121514878164716
sarvamai/sarvam-1,nf4,Gujarati,1.105245739529064,1.7131109237670898,3.9265316821939233
sarvamai/sarvam-1,nf4,Punjabi,1.772370207709467,1.7131109237670898,3.3466478690979296
sarvamai/sarvam-1,nf4,Odia,1.2209660035248446,1.7131109237670898,4.288979772139667
sarvamai/sarvam-1,nf4,Tamil,0.867169036889528,1.7131109237670898,1.1241799330637958
sarvamai/sarvam-1,nf4,Telugu,1.102749509717813,1.7131109237670898,4.9810025832373706
sarvamai/sarvam-1,nf4,Kannada,1.054747724087879,1.7131109237670898,3.992429310781942
sarvamai/sarvam-1,nf4,Malayalam,0.9839023611926093,1.7131109237670898,4.189920456902607
