language,precision,abs_delta,abs_lo,abs_hi,pct,pct_lo,pct_hi
English,int8,0.007013781087030657,0.0053648392964373345,0.008779595060504908,1.1000570945997046,0.8366034486576884,1.379645166213209
English,nf4,0.06136032855780649,0.05710880806899213,0.06580441394680107,9.62389101105523,8.896719781100588,10.34685540226883
Hindi,int8,0.013725701281939173,0.011755490328249097,0.015810819924748577,1.3514161700298732,1.1636604227423653,1.5628247799414798
Hindi,nf4,0.1434373555182773,0.13694996697317652,0.15088444717150898,14.122670867738485,13.443587387300054,14.868655926773041
Bengali,int8,0.03330973816871796,0.030617893143127677,0.03631822276938483,2.8721259708584634,2.6403191059792466,3.1386577123990755
Bengali,nf4,0.16343194497961422,0.155689388128009,0.1718413157563058,14.091889022552673,13.405635770276714,14.803120870521036
Marathi,int8,0.021366251573248674,0.018574595366196527,0.024046096498541062,1.7161116352102157,1.49356843277483,1.926237297959079
Marathi,nf4,0.16974790204001433,0.16232672686892988,0.1773138756571384,13.63394738401935,13.050115637032105,14.243029680164177
Gujarati,int8,0.03491600879390111,0.031787520996567516,0.038275864879986146,2.7365069916063023,2.49254244745118,2.9999698993039807
Gujarati,nf4,0.16747956249533913,0.15935673369832465,0.17573178234388834,13.126041880242468,12.472103294977467,13.784490882512026
Punjabi,int8,0.02851210503631374,0.025275999517820436,0.03191345180492075,1.8045310829050587,1.5908359209382135,2.02187680807471
Punjabi,nf4,0.16425171167494668,0.15556769337488824,0.17310793542102612,10.39549057357576,9.813985892538344,10.9822027480708
Odia,int8,0.026844016943571303,0.024116270450496108,0.029570582935864013,2.0416245284550216,1.835443390831062,2.2534778679244836
Odia,nf4,0.1663982529562229,0.15988017865630272,0.1735659788110277,12.655436607778148,12.12298116947046,13.215202959627906
Tamil,int8,0.021850846138948832,0.01942274571777692,0.0242152230172564,2.159591660643967,1.9150704954492088,2.3963577182754174
Tamil,nf4,0.1488824359747083,0.1423926063774726,0.15567264367297468,14.714545382030941,14.011535114166668,15.409237778976532
Telugu,int8,0.023638537384398584,0.020915829602920988,0.026371705666886434,1.9260732448518336,1.7045539656729003,2.155797457081364
Telugu,nf4,0.16521760579979983,0.1580252286906737,0.1728620366063523,13.461966996295448,12.823307661266695,14.135159829533572
Kannada,int8,0.018244387326972866,0.01605644139271223,0.020534032847084438,1.5434246344159908,1.355617867757017,1.7358398850423422
Kannada,nf4,0.1751341433214857,0.16803549421849165,0.1833512777454211,14.815863437085387,14.204862713845598,15.535352873036603
Malayalam,int8,0.019523553693215456,0.017354132668287607,0.021847514850670758,1.7304695067296816,1.5371528028782389,1.933679959472691
Malayalam,nf4,0.15536903065130492,0.14813653865532794,0.16253503474719072,13.771128661154686,13.103106635800001,14.403376429082773
